client_id,group_id,mobile,email,ip_address,address,bank_account,device_id,occupation,declared_income,monthly_turnover,fo_premium,illiquid_trades,fund_transfer_count,login_frequency,shared_accounts,trading_pattern_score,risk_country,transaction_amount,rapid_withdrawal,suspicious_flag
C1000,G42,9000009440,user0@gmail.com,10.0.19.7,Kochi,AXIS237235,DEV5915,Student,792683,45083354,963475,13,28,155,7,77,No,3228136,Yes,1
C1001,G775,9010002396,user1@gmail.com,192.168.59.160,Kochi,ICICI398830,DEV3584,Student,1438703,2229110,65877,4,5,13,1,9,No,306150,No,0
C1002,G1370,9567945747,user2@gmail.com,192.168.2.171,Coimbatore,KOTAK320861,DEV6617,Business,3111370,2737893,45203,2,2,11,0,22,No,345442,No,0
C1003,G958,9972097649,user3@gmail.com,192.168.7.24,Kolkata,AXIS678478,DEV8007,SelfEmployed,2920961,1739653,10929,2,3,45,1,15,Yes,827236,No,0
C1004,G77,9000000936,user4@gmail.com,10.0.2.1,Pune,ICICI320281,DEV5088,Investor,779364,19938405,1201328,9,17,109,7,98,Yes,1334662,Yes,1
C1005,G1274,9949332407,user5@gmail.com,192.168.53.250,Kochi,AXIS941204,DEV5065,Trader,1896487,4971793,52598,1,7,6,0,26,Yes,870391,No,0
C1006,G811,9410751046,user6@gmail.com,192.168.5.220,Ahmedabad,HDFC517821,DEV6378,Trader,2465909,4348276,130665,2,5,19,0,6,Yes,742094,No,0
C1007,G986,9377040284,user7@gmail.com,192.168.83.131,Kolkata,KOTAK555673,DEV6663,Investor,3377886,1463060,40236,2,3,42,1,7,No,163668,No,0
C1008,G1224,9124173718,user8@gmail.com,192.168.50.231,Kochi,SBI796503,DEV6409,SelfEmployed,2194496,5273534,21635,3,1,38,0,28,No,502248,No,0
C1009,G828,9772830248,user9@gmail.com,192.168.39.130,Hyderabad,AXIS810219,DEV3851,SelfEmployed,4025848,6472441,115486,2,9,13,0,31,No,747229,No,0
C1010,G701,9326283245,user10@gmail.com,192.168.37.54,Kolkata,SBI397571,DEV9445,Investor,3303222,8801207,125811,3,4,37,1,15,No,740855,No,0
C1011,G121,9000005947,user11@gmail.com,10.0.7.4,Delhi,KOTAK303880,DEV7291,Student,354511,11639160,396917,12,45,148,3,84,No,4476583,Yes,1
